state,district,priority_label,priority_rank,forecast_next_month,required_staff,required_kits
Maharashtra,Nagpur,Medium Priority,420.0,2024,4,4
Madhya Pradesh,Sheopur,Medium Priority,421.0,914,2,2
Tripura,North Tripura,Medium Priority,422.0,266,1,1
Karnataka,Chikmagalur,Medium Priority,423.0,37,1,1
Maharashtra,Sindhudurg,Medium Priority,424.0,266,1,1
Uttar Pradesh,Banda,Medium Priority,425.0,1178,3,3
Uttar Pradesh,Varanasi,Medium Priority,426.0,2534,5,5
Uttar Pradesh,Balrampur,Medium Priority,427.0,1846,4,4
Tamil Nadu,Chennai,Medium Priority,428.0,2101,4,4
Tripura,Sepahijala,Medium Priority,429.0,329,1,1
Uttar Pradesh,Unnao,Medium Priority,430.0,2366,5,5
Bihar,Nawada,Medium Priority,431.0,2307,5,5
Rajasthan,Jaisalmer,Medium Priority,432.0,470,1,1
Odisha,Anugul,Medium Priority,433.0,25,1,1
Haryana,Rohtak,Medium Priority,434.0,647,2,2
Madhya Pradesh,Khandwa,Medium Priority,435.0,672,2,2
Delhi,North Delhi,Medium Priority,436.0,634,2,2
Uttar Pradesh,Kheri,Medium Priority,437.0,3068,6,6
Uttar Pradesh,Chandauli,Medium Priority,438.0,1215,3,3
Jharkhand,Khunti,Medium Priority,439.0,424,1,1
Kerala,Idukki,Medium Priority,440.0,386,1,1
Uttar Pradesh,Shahjahanpur,Medium Priority,441.0,1961,4,4
Uttar Pradesh,Fatehpur,Medium Priority,442.0,1621,3,3
Arunachal Pradesh,Papum Pare,Medium Priority,443.0,92,1,1
Karnataka,Kalaburagi,Medium Priority,444.0,936,2,2
Bihar,Bhagalpur,Medium Priority,445.0,2663,5,5
Jammu And Kashmir,Baramula,Medium Priority,446.0,844,2,2
Madhya Pradesh,Narsinghpur,Medium Priority,447.0,872,2,2
Pondicherry,Karaikal,Medium Priority,448.0,32,1,1
Uttar Pradesh,Lucknow,Medium Priority,449.0,3859,8,8
Rajasthan,Dholpur,Medium Priority,450.0,1127,3,3
Maharashtra,Sangli,Medium Priority,451.0,1042,2,2
Punjab,Jalandhar,Low Priority,452.0,849,2,2
Kerala,Kasaragod,Low Priority,453.0,870,2,2
Bihar,Munger,Low Priority,454.0,902,2,2
Gujarat,Junagadh,Low Priority,455.0,1039,2,2
Odisha,Baudh,Low Priority,456.0,32,1,1
Uttar Pradesh,Ghaziabad,Low Priority,457.0,2843,6,6
Rajasthan,Jalor,Low Priority,458.0,2221,5,5
Karnataka,Vijayapura,Low Priority,459.0,962,2,2
Maharashtra,Jalgaon,Low Priority,460.0,1948,4,4
Kerala,Malappuram,Low Priority,461.0,3539,7,7
Rajasthan,Bhilwara,Low Priority,462.0,1735,4,4
Karnataka,Tumakuru,Low Priority,463.0,685,2,2
Kerala,Kottayam,Low Priority,464.0,774,2,2
Telangana,Rangareddy,Low Priority,465.0,66,1,1
Uttar Pradesh,Etawah,Low Priority,466.0,1085,2,2
Madhya Pradesh,Vidisha,Low Priority,467.0,1391,3,3
Orissa,Rayagada,Low Priority,468.0,27,1,1
Madhya Pradesh,Raisen,Low Priority,469.0,1368,3,3
Uttar Pradesh,Bulandshahar,Low Priority,470.0,38,1,1
Bihar,Gaya,Low Priority,471.0,3941,8,8
Punjab,Pathankot,Low Priority,472.0,247,1,1
Bihar,Saharsa,Low Priority,473.0,2120,4,4
Maharashtra,Amravati,Low Priority,474.0,1158,3,3
Jammu And Kashmir,Ganderbal,Low Priority,475.0,178,1,1
Uttar Pradesh,Mainpuri,Low Priority,476.0,1510,3,3
Bihar,Jamui,Low Priority,477.0,1594,3,3
Uttar Pradesh,Lalitpur,Low Priority,478.0,936,2,2
Madhya Pradesh,Betul,Low Priority,479.0,1548,3,3
Rajasthan,Sikar,Low Priority,480.0,1734,4,4
West Bengal,Dakshin Dinajpur,Low Priority,481.0,1115,3,3
Andaman And Nicobar Islands,South Andaman,Low Priority,482.0,43,1,1
Karnataka,Yadgir,Low Priority,483.0,1354,3,3
West Bengal,Hugli,Low Priority,484.0,38,1,1
Uttar Pradesh,Pilibhit,Low Priority,485.0,1256,3,3
Bihar,Supaul,Low Priority,486.0,2467,5,5
Jharkhand,Dumka,Low Priority,487.0,1129,3,3
Maharashtra,Palghar,Low Priority,488.0,1734,4,4
Uttar Pradesh,Kannauj,Low Priority,489.0,1058,2,2
Jharkhand,Deoghar,Low Priority,490.0,1741,4,4
Punjab,Nawanshahr,Low Priority,491.0,43,1,1
Punjab,Fatehgarh Sahib,Low Priority,492.0,210,1,1
Rajasthan,Bikaner,Low Priority,493.0,1661,4,4
Karnataka,Belagavi,Low Priority,494.0,1647,3,3
Jammu And Kashmir,Kupwara,Low Priority,495.0,655,2,2
Odisha,Kalahandi,Low Priority,496.0,785,2,2
Punjab,Patiala,Low Priority,497.0,672,2,2
Uttar Pradesh,Rampur,Low Priority,498.0,2012,4,4
Himachal Pradesh,Shimla,Low Priority,499.0,394,1,1
Karnataka,Haveri,Low Priority,500.0,927,2,2
Uttarakhand,Dehradun,Low Priority,501.0,1248,3,3
Rajasthan,Kota,Low Priority,502.0,1485,3,3
Punjab,Faridkot,Low Priority,503.0,170,1,1
Uttar Pradesh,Etah,Low Priority,504.0,1031,2,2
Jharkhand,Gumla,Low Priority,505.0,1127,3,3
Uttar Pradesh,Farrukhabad,Low Priority,506.0,1216,3,3
Maharashtra,Washim,Low Priority,507.0,604,2,2
Uttar Pradesh,Jaunpur,Low Priority,508.0,2520,5,5
Madhya Pradesh,Panna,Low Priority,509.0,1594,3,3
Punjab,Sangrur,Low Priority,510.0,395,1,1
Uttar Pradesh,Sambhal,Low Priority,511.0,1641,3,3
West Bengal,Uttar Dinajpur,Low Priority,512.0,4324,8,8
Maharashtra,Nashik,Low Priority,513.0,3394,7,7
Maharashtra,Ratnagiri,Low Priority,514.0,581,2,2
Kerala,Wayanad,Low Priority,515.0,379,1,1
West Bengal,Bankura,Low Priority,516.0,2400,5,5
Sikkim,East,Low Priority,517.0,62,1,1
Orissa,Puri,Low Priority,518.0,43,1,1
Chandigarh,Chandigarh,Low Priority,519.0,548,1,1
Uttar Pradesh,Azamgarh,Low Priority,520.0,3192,6,6
Rajasthan,Pali,Low Priority,521.0,1617,3,3
Telangana,Bhadradri Kothagudem,Low Priority,522.0,538,1,1
Rajasthan,Udaipur,Low Priority,523.0,2651,5,5
West Bengal,Howrah,Low Priority,524.0,2183,4,4
Rajasthan,Karauli,Low Priority,525.0,1411,3,3
Bihar,Gopalganj,Low Priority,526.0,2074,4,4
Uttar Pradesh,Bhadohi,Low Priority,527.0,108,1,1
Chhattisgarh,Uttar Bastar Kanker,Low Priority,528.0,195,1,1
Uttar Pradesh,Hathras,Low Priority,529.0,1104,3,3
Karnataka,Bidar,Low Priority,530.0,1013,2,2
Rajasthan,Alwar,Low Priority,531.0,3278,6,6
Rajasthan,Baran,Low Priority,532.0,1005,2,2
Manipur,Senapati,Low Priority,533.0,306,1,1
Karnataka,Mandya,Low Priority,534.0,889,2,2
Rajasthan,Churu,Low Priority,535.0,1823,4,4
Jharkhand,East Singhbhum,Low Priority,536.0,1712,4,4
Rajasthan,Sawai Madhopur,Low Priority,537.0,1107,3,3
Chhattisgarh,Khairagarh Chhuikhadan Gandai,Low Priority,538.0,58,1,1
Rajasthan,Ajmer,Low Priority,539.0,1867,4,4
Madhya Pradesh,Agar Malwa,Low Priority,540.0,648,2,2
Karnataka,Udupi,Low Priority,541.0,693,2,2
Uttar Pradesh,Bulandshahr,Low Priority,542.0,2834,6,6
Chhattisgarh,Durg,Low Priority,543.0,638,2,2
Madhya Pradesh,Bhopal,Low Priority,544.0,2240,5,5
Odisha,Kendrapara,Low Priority,545.0,775,2,2
Rajasthan,Nagaur,Low Priority,546.0,2455,5,5
Karnataka,Dakshina Kannada,Low Priority,547.0,1511,3,3
Uttar Pradesh,Hardoi,Low Priority,548.0,2829,6,6
Telangana,Warangal Urban,Low Priority,549.0,137,1,1
Karnataka,Bagalkot *,Low Priority,550.0,53,1,1
Karnataka,Chamarajanagar,Low Priority,550.0,54,1,1
Punjab,Rupnagar,Low Priority,551.0,250,1,1
Uttar Pradesh,Sultanpur,Low Priority,552.0,1741,4,4
Madhya Pradesh,West Nimar,Low Priority,553.0,154,1,1
Karnataka,Bagalkot,Low Priority,554.0,1514,3,3
Chhattisgarh,Balrampur,Low Priority,555.0,783,2,2
Madhya Pradesh,Shahdol,Low Priority,556.0,1192,3,3
Punjab,Malerkotla,Low Priority,557.0,175,1,1
Tamil Nadu,Ramanathapuram,Low Priority,558.0,830,2,2
Rajasthan,Jhunjhunun,Low Priority,559.0,1383,3,3
Bihar,Lakhisarai,Low Priority,560.0,829,2,2
Bihar,Purnea,Low Priority,561.0,52,1,1
Rajasthan,Chittaurgarh,Low Priority,562.0,57,1,1
Odisha,Balangir,Low Priority,563.0,979,2,2
Haryana,Ambala,Low Priority,564.0,698,2,2
Uttar Pradesh,Deoria,Low Priority,565.0,1741,4,4
Jammu And Kashmir,Anantnag,Low Priority,566.0,754,2,2
Karnataka,Chamrajanagar,Low Priority,567.0,497,1,1
Bihar,Kaimur (Bhabua),Low Priority,568.0,933,2,2
Uttar Pradesh,Mathura,Low Priority,569.0,2075,4,4
Odisha,Koraput,Low Priority,570.0,675,2,2
Karnataka,Chitradurga,Low Priority,571.0,1047,2,2
Maharashtra,Akola,Low Priority,572.0,841,2,2
Madhya Pradesh,Katni,Low Priority,573.0,2119,4,4
Odisha,Nabarangapur,Low Priority,574.0,954,2,2
Chhattisgarh,Sakti,Low Priority,575.0,92,1,1
Maharashtra,Ahmadnagar,Low Priority,576.0,2700,5,5
Karnataka,Raichur,Low Priority,577.0,2095,4,4
Punjab,Barnala,Low Priority,578.0,220,1,1
Punjab,S.A.S Nagar(Mohali),Low Priority,579.0,55,1,1
Manipur,Chandel,Low Priority,580.0,126,1,1
Manipur,Imphal East,Low Priority,581.0,266,1,1
Uttar Pradesh,Kushi Nagar,Low Priority,582.0,1570,3,3
Uttar Pradesh,Muzaffarnagar,Low Priority,583.0,2031,4,4
Jharkhand,Palamau,Low Priority,584.0,58,1,1
Uttar Pradesh,Meerut,Low Priority,585.0,3089,6,6
Odisha,Gajapati,Low Priority,586.0,330,1,1
Maharashtra,Gadchiroli,Low Priority,587.0,457,1,1
Rajasthan,Bharatpur,Low Priority,588.0,2647,5,5
Rajasthan,Tonk,Low Priority,589.0,888,2,2
West Bengal,Puruliya,Low Priority,590.0,2569,5,5
Jammu And Kashmir,Kulgam,Low Priority,591.0,282,1,1
Chhattisgarh,Manendragarh–Chirmiri–Bharatpur,Low Priority,592.0,65,1,1
Uttar Pradesh,Moradabad,Low Priority,593.0,2452,5,5
Bihar,Rohtas,Low Priority,594.0,1672,4,4
Uttar Pradesh,Bara Banki,Low Priority,595.0,1691,4,4
Telangana,Peddapalli,Low Priority,596.0,118,1,1
Jharkhand,Pakaur,Low Priority,597.0,40,1,1
Uttar Pradesh,Firozabad,Low Priority,598.0,1268,3,3
Andhra Pradesh,Nandyal,Low Priority,599.0,219,1,1
Uttar Pradesh,Jhansi,Low Priority,600.0,1434,3,3
Rajasthan,Jhunjhunu,Low Priority,601.0,52,1,1
Madhya Pradesh,Satna,Low Priority,602.0,2445,5,5
Madhya Pradesh,Harda,Low Priority,603.0,410,1,1
Uttarakhand,Pithoragarh,Low Priority,604.0,259,1,1
Karnataka,Davangere,Low Priority,605.0,1095,2,2
Madhya Pradesh,Ratlam,Low Priority,606.0,1798,4,4
Jammu And Kashmir,Pulwama,Low Priority,607.0,443,1,1
Uttar Pradesh,Kaushambi,Low Priority,608.0,1273,3,3
Maharashtra,Kolhapur,Low Priority,609.0,1633,3,3
Tamil Nadu,Kanyakumari,Low Priority,610.0,416,1,1
Jharkhand,Kodarma,Low Priority,611.0,66,1,1
Telangana,K.V. Rangareddy,Low Priority,612.0,3676,7,7
Karnataka,Uttara Kannada,Low Priority,613.0,803,2,2
Bihar,Nalanda,Low Priority,614.0,2290,5,5
Telangana,Medchal−Malkajgiri,Low Priority,615.0,114,1,1
Kerala,Kasargod,Low Priority,616.0,78,1,1
Bihar,Arwal,Low Priority,617.0,651,2,2
Karnataka,Koppal,Low Priority,618.0,1211,3,3
Chhattisgarh,Narayanpur,Low Priority,619.0,162,1,1
Uttarakhand,Chamoli,Low Priority,620.0,224,1,1
Bihar,Purnia,Low Priority,621.0,3354,7,7
Dadra And Nagar Haveli,Dadra And Nagar Haveli,Low Priority,622.0,126,1,1
Odisha,Debagarh,Low Priority,623.0,169,1,1
Madhya Pradesh,Mauganj,Low Priority,624.0,91,1,1
Orissa,Cuttack,Low Priority,625.0,66,1,1
Uttarakhand,Haridwar,Low Priority,626.0,1162,3,3
Bihar,Saran,Low Priority,627.0,4440,9,9
West Bengal,South 24 Parganas,Low Priority,628.0,7877,15,15
Bihar,Siwan,Low Priority,629.0,2930,6,6
Maharashtra,Ahmed Nagar,Low Priority,630.0,82,1,1
Rajasthan,Hanumangarh,Low Priority,631.0,774,2,2
Bihar,Buxar,Low Priority,632.0,1479,3,3
Madhya Pradesh,Dewas,Low Priority,633.0,1963,4,4
Punjab,Muktsar,Low Priority,634.0,59,1,1
Madhya Pradesh,Sehore,Low Priority,635.0,1144,3,3
Bihar,Khagaria,Low Priority,636.0,1627,3,3
Haryana,Sonipat,Low Priority,637.0,942,2,2
Uttarakhand,Pauri Garhwal,Low Priority,638.0,399,1,1
Manipur,Thoubal,Low Priority,639.0,241,1,1
West Bengal,North Dinajpur,Low Priority,640.0,71,1,1
Jammu And Kashmir,Jammu,Low Priority,641.0,964,2,2
Rajasthan,Dungarpur,Low Priority,642.0,1165,3,3
Jharkhand,Sahibganj,Low Priority,643.0,75,1,1
Maharashtra,Aurangabad,Low Priority,644.0,2400,5,5
West Bengal,Paschim Medinipur,Low Priority,645.0,3571,7,7
Rajasthan,Jhalawar,Low Priority,646.0,1220,3,3
Karnataka,Hassan,Low Priority,647.0,565,2,2
Rajasthan,Dausa,Low Priority,648.0,1169,3,3
Andhra Pradesh,Prakasam,Low Priority,649.0,1488,3,3
Telangana,Jayashankar Bhupalpally,Low Priority,650.0,175,1,1
Odisha,Jagatsinghapur,Low Priority,651.0,737,2,2
Punjab,Sri Muktsar Sahib,Low Priority,652.0,243,1,1
Madhya Pradesh,Jabalpur,Low Priority,653.0,2609,5,5
Rajasthan,Ganganagar,Low Priority,654.0,1111,3,3
Bihar,Araria,Low Priority,655.0,2993,6,6
Karnataka,Kolar,Low Priority,656.0,937,2,2
Uttar Pradesh,Basti,Low Priority,657.0,2121,4,4
Chhattisgarh,Raipur,Low Priority,658.0,1437,3,3
Uttar Pradesh,Hamirpur,Low Priority,659.0,667,2,2
Madhya Pradesh,Damoh,Low Priority,660.0,1241,3,3
Bihar,Bhojpur,Low Priority,661.0,2884,6,6
Uttarakhand,Almora,Low Priority,662.0,314,1,1
Jharkhand,Dhanbad,Low Priority,663.0,1971,4,4
Orissa,Bhadrak,Low Priority,664.0,63,1,1
Tamil Nadu,Mayiladuthurai,Low Priority,665.0,97,1,1
Tamil Nadu,Dharmapuri,Low Priority,666.0,1284,3,3
Chhattisgarh,Raigarh,Low Priority,667.0,626,2,2
Jharkhand,Simdega,Low Priority,668.0,360,1,1
Haryana,Mahendragarh,Low Priority,669.0,593,2,2
Jharkhand,Garhwa *,Low Priority,670.0,86,1,1
Telangana,Hanumakonda,Low Priority,671.0,211,1,1
Haryana,Panipat,Low Priority,672.0,807,2,2
Karnataka,Chamrajnagar,Low Priority,673.0,88,1,1
Uttar Pradesh,Amethi,Low Priority,674.0,1385,3,3
Orissa,Baleshwar,Low Priority,675.0,74,1,1
Madhya Pradesh,Datia,Low Priority,676.0,851,2,2
Jammu And Kashmir,Doda,Low Priority,677.0,1156,3,3
Punjab,Bathinda,Low Priority,678.0,527,1,1
Chhattisgarh,Mahasamund,Low Priority,679.0,660,2,2
Uttar Pradesh,Amroha,Low Priority,680.0,1553,3,3
Jharkhand,Palamu,Low Priority,681.0,1936,4,4
Jammu And Kashmir,Punch,Low Priority,682.0,618,2,2
Jharkhand,Seraikela-Kharsawan,Low Priority,683.0,952,2,2
Jharkhand,West Singhbhum,Low Priority,684.0,1364,3,3
Telangana,Jagitial,Low Priority,685.0,317,1,1
Jammu And Kashmir,Kargil,Low Priority,686.0,125,1,1
Bihar,Banka,Low Priority,687.0,2165,4,4
Chhattisgarh,Baloda Bazar,Low Priority,688.0,917,2,2
Bihar,Aurangabad,Low Priority,689.0,2228,5,5
Odisha,Subarnapur,Low Priority,690.0,65,1,1
Punjab,Firozpur,Low Priority,691.0,61,1,1
Punjab,Tarn Taran,Low Priority,692.0,515,1,1
Orissa,Ganjam,Low Priority,693.0,88,1,1
Uttar Pradesh,Shamli,Low Priority,694.0,1752,4,4
Bihar,Katihar,Low Priority,695.0,2969,6,6
Maharashtra,Mumbai( Sub Urban ),Low Priority,696.0,97,1,1
Jammu And Kashmir,Kishtwar,Low Priority,697.0,338,1,1
Bihar,Samastipur,Low Priority,698.0,3994,8,8
Jammu And Kashmir,Reasi,Low Priority,699.0,434,1,1
West Bengal,Birbhum,Low Priority,700.0,3147,6,6
Uttarakhand,Uttarkashi,Low Priority,701.0,284,1,1
Bihar,Sheikhpura,Low Priority,702.0,606,2,2
Rajasthan,Rajsamand,Low Priority,703.0,832,2,2
Orissa,Balangir,Low Priority,704.0,73,1,1
West Bengal,Darjiling,Low Priority,705.0,125,1,1
Madhya Pradesh,Guna,Low Priority,706.0,1436,3,3
Jharkhand,Pakur,Low Priority,707.0,361,1,1
Himachal Pradesh,Solan,Low Priority,708.0,270,1,1
Telangana,Warangal Rural,Low Priority,709.0,162,1,1
Jharkhand,Pashchimi Singhbhum,Low Priority,710.0,129,1,1
Telangana,Rajanna Sircilla,Low Priority,711.0,194,1,1
Uttarakhand,Bageshwar,Low Priority,712.0,161,1,1
Punjab,Fazilka,Low Priority,713.0,334,1,1
West Bengal,South Dinajpur,Low Priority,714.0,82,1,1
Uttar Pradesh,Ghazipur,Low Priority,715.0,2067,4,4
Uttar Pradesh,Ambedkar Nagar,Low Priority,716.0,1452,3,3
Himachal Pradesh,Sirmaur,Low Priority,717.0,338,1,1
Chhattisgarh,Kabeerdham,Low Priority,718.0,205,1,1
Chhattisgarh,Rajnandgaon,Low Priority,719.0,937,2,2
Telangana,Mulugu,Low Priority,720.0,194,1,1
Uttar Pradesh,Sant Kabir Nagar,Low Priority,721.0,1330,3,3
Uttar Pradesh,Mau,Low Priority,722.0,1418,3,3
Madhya Pradesh,East Nimar,Low Priority,723.0,692,2,2
Himachal Pradesh,Chamba,Low Priority,724.0,403,1,1
Karnataka,Davanagere,Low Priority,725.0,102,1,1
Jammu And Kashmir,Shupiyan,Low Priority,726.0,158,1,1
Uttar Pradesh,Hapur,Low Priority,727.0,930,2,2
Rajasthan,Barmer,Low Priority,728.0,2599,5,5
Haryana,Kurukshetra,Low Priority,729.0,519,1,1
Chhattisgarh,Gariyaband,Low Priority,730.0,321,1,1
Madhya Pradesh,Ujjain,Low Priority,731.0,3243,6,6
Odisha,Nayagarh,Low Priority,732.0,452,1,1
Andhra Pradesh,Nizamabad,Low Priority,733.0,101,1,1
Haryana,Panchkula,Low Priority,734.0,332,1,1
Himachal Pradesh,Kangra,Low Priority,735.0,872,2,2
Tamil Nadu,Vellore,Low Priority,736.0,1966,4,4
Punjab,Ferozepur,Low Priority,737.0,251,1,1
Uttarakhand,Tehri Garhwal,Low Priority,738.0,618,2,2
Uttar Pradesh,Pratapgarh,Low Priority,739.0,2011,4,4
Jharkhand,Giridih,Low Priority,740.0,2836,6,6
Andhra Pradesh,Chittoor,Low Priority,741.0,1792,4,4
Jharkhand,Chatra,Low Priority,742.0,1196,3,3
Jharkhand,Hazaribagh,Low Priority,743.0,1268,3,3
Delhi,North East Delhi,Low Priority,744.0,1237,3,3
Rajasthan,Pratapgarh,Low Priority,745.0,649,2,2
Madhya Pradesh,Chhindwara,Low Priority,746.0,2040,4,4
West Bengal,Malda,Low Priority,747.0,3056,6,6
Tamil Nadu,Cuddalore,Low Priority,748.0,1732,4,4
Karnataka,Chikkaballapur,Low Priority,749.0,687,2,2
Maharashtra,Mumbai,Low Priority,750.0,3035,6,6
Tamil Nadu,Kancheepuram,Low Priority,751.0,2662,5,5
Andhra Pradesh,Krishna,Low Priority,752.0,1453,3,3
Uttar Pradesh,Auraiya,Low Priority,753.0,723,2,2
Odisha,Angul,Low Priority,754.0,515,1,1
Jharkhand,Latehar,Low Priority,755.0,530,1,1
Jharkhand,Hazaribag,Low Priority,756.0,121,1,1
Uttar Pradesh,Saharanpur,Low Priority,757.0,2658,5,5
Haryana,Bhiwani,Low Priority,758.0,775,2,2
Telangana,Narayanpet,Low Priority,759.0,259,1,1
Maharashtra,Bid,Low Priority,760.0,119,1,1
Tamil Nadu,Pudukkottai,Low Priority,761.0,1381,3,3
Odisha,Sundergarh,Low Priority,762.0,706,2,2
Himachal Pradesh,Mandi,Low Priority,763.0,582,2,2
Telangana,Sangareddy,Low Priority,764.0,581,2,2
Karnataka,Gadag,Low Priority,765.0,803,2,2
Tamil Nadu,Sivaganga,Low Priority,766.0,931,2,2
Madhya Pradesh,Umaria,Low Priority,767.0,1088,2,2
Haryana,Kaithal,Low Priority,768.0,537,1,1
Chhattisgarh,Bemetara,Low Priority,769.0,644,2,2
Odisha,Sundargarh,Low Priority,770.0,110,1,1
Tamil Nadu,Coimbatore,Low Priority,771.0,1867,4,4
Tamil Nadu,Tiruvallur,Low Priority,772.0,2521,5,5
West Bengal,Purulia,Low Priority,773.0,149,1,1
Haryana,Fatehabad,Low Priority,774.0,640,2,2
Jammu And Kashmir,Udhampur,Low Priority,775.0,717,2,2
Haryana,Jhajjar,Low Priority,776.0,576,2,2
Tamil Nadu,Tiruvannamalai,Low Priority,777.0,1468,3,3
Madhya Pradesh,Anuppur,Low Priority,778.0,841,2,2
Madhya Pradesh,Harda *,Low Priority,779.0,106,1,1
Tamil Nadu,Tirupattur,Low Priority,780.0,231,1,1
Jharkhand,Ramgarh,Low Priority,781.0,634,2,2
Maharashtra,Bhandara,Low Priority,782.0,409,1,1
Karnataka,Ramanagar,Low Priority,783.0,568,2,2
Tamil Nadu,The Nilgiris,Low Priority,784.0,361,1,1
Uttar Pradesh,Mahoba,Low Priority,785.0,565,2,2
Bihar,Madhepura,Low Priority,786.0,1922,4,4
Uttar Pradesh,Rae Bareli,Low Priority,787.0,2060,4,4
Uttarakhand,Champawat,Low Priority,788.0,178,1,1
Bihar,Darbhanga,Low Priority,789.0,3154,6,6
Madhya Pradesh,Rajgarh,Low Priority,790.0,1861,4,4
Madhya Pradesh,Balaghat,Low Priority,791.0,1407,3,3
Andhra Pradesh,Karimnagar,Low Priority,792.0,123,1,1
Uttar Pradesh,Bijnor,Low Priority,793.0,3386,7,7
Odisha,Mayurbhanj,Low Priority,794.0,1367,3,3
Bihar,Sheohar,Low Priority,795.0,731,2,2
Chhattisgarh,Korba,Low Priority,796.0,738,2,2
Bihar,Begusarai,Low Priority,797.0,2667,5,5
Jharkhand,Koderma,Low Priority,798.0,639,2,2
Rajasthan,Banswara,Low Priority,799.0,1277,3,3
Odisha,Jagatsinghpur,Low Priority,800.0,157,1,1
Chhattisgarh,Balod,Low Priority,801.0,354,1,1
Jharkhand,Jamtara,Low Priority,802.0,925,2,2
Telangana,Nirmal,Low Priority,803.0,266,1,1
Tripura,South Tripura,Low Priority,804.0,463,1,1
Madhya Pradesh,Tikamgarh,Low Priority,805.0,1579,3,3
Andhra Pradesh,West Godavari,Low Priority,806.0,1249,3,3
Chhattisgarh,Dantewada,Low Priority,807.0,206,1,1
Jammu And Kashmir,Ramban,Low Priority,808.0,513,1,1
West Bengal,Purba Medinipur,Low Priority,809.0,2834,6,6
Maharashtra,Wardha,Low Priority,810.0,389,1,1
Orissa,Khordha,Low Priority,811.0,136,1,1
Andhra Pradesh,Mahbubnagar,Low Priority,812.0,140,1,1
Andhra Pradesh,Ananthapuramu,Low Priority,813.0,707,2,2
Andhra Pradesh,Visakhapatnam,Low Priority,814.0,1786,4,4
Haryana,Hisar,Low Priority,815.0,1077,2,2
Tamil Nadu,Madurai,Low Priority,816.0,1873,4,4
Uttar Pradesh,Ballia,Low Priority,817.0,2061,4,4
Madhya Pradesh,Neemuch,Low Priority,818.0,1153,3,3
Chhattisgarh,Kondagaon,Low Priority,819.0,693,2,2
Karnataka,Dharwad,Low Priority,820.0,1122,3,3
West Bengal,Koch Bihar,Low Priority,821.0,633,2,2
Jammu And Kashmir,Rajouri,Low Priority,822.0,614,2,2
Andhra Pradesh,Guntur,Low Priority,823.0,2244,5,5
Jammu And Kashmir,Kathua,Low Priority,824.0,753,2,2
Odisha,Dhenkanal,Low Priority,825.0,516,1,1
Jharkhand,Godda,Low Priority,826.0,1088,2,2
Uttar Pradesh,Allahabad,Low Priority,827.0,2499,5,5
Odisha,Bhadrak,Low Priority,828.0,798,2,2
Maharashtra,Jalna,Low Priority,829.0,1093,2,2
Haryana,Rewari,Low Priority,830.0,557,2,2
Telangana,Mancherial,Low Priority,831.0,222,1,1
Telangana,Nagarkurnool,Low Priority,832.0,254,1,1
Odisha,Kandhamal,Low Priority,833.0,475,1,1
Odisha,Baleshwar,Low Priority,834.0,152,1,1
Haryana,Charkhi Dadri,Low Priority,834.0,186,1,1
Odisha,Cuttack,Low Priority,835.0,942,2,2
Odisha,Boudh,Low Priority,836.0,247,1,1
Uttarakhand,Udham Singh Nagar,Low Priority,837.0,1232,3,3
Chhattisgarh,Surajpur,Low Priority,838.0,610,2,2
Madhya Pradesh,Singrauli,Low Priority,839.0,1422,3,3
Himachal Pradesh,Hamirpur,Low Priority,840.0,295,1,1
West Bengal,Bardhaman,Low Priority,841.0,349,1,1
Haryana,Yamuna Nagar,Low Priority,842.0,739,2,2
West Bengal,East Midnapore,Low Priority,843.0,431,1,1
Maharashtra,Osmanabad,Low Priority,844.0,731,2,2
Jharkhand,Bokaro,Low Priority,845.0,1259,3,3
Madhya Pradesh,Mandsaur,Low Priority,846.0,2092,4,4
Uttar Pradesh,Sonbhadra,Low Priority,847.0,877,2,2
Odisha,Kendujhar,Low Priority,848.0,968,2,2
Uttar Pradesh,Chitrakoot,Low Priority,849.0,1187,3,3
Tamil Nadu,Thanjavur,Low Priority,850.0,1498,3,3
Uttarakhand,Rudraprayag,Low Priority,851.0,209,1,1
Maharashtra,Gondiya,Low Priority,852.0,583,2,2
Uttar Pradesh,Kushinagar,Low Priority,853.0,2036,4,4
Bihar,Kishanganj,Low Priority,854.0,1732,4,4
Bihar,Vaishali,Low Priority,855.0,3656,7,7
Telangana,Khammam,Low Priority,856.0,734,2,2
Himachal Pradesh,Bilaspur,Low Priority,857.0,232,1,1
West Bengal,North Twenty Four Parganas,Low Priority,858.0,318,1,1
Chhattisgarh,Dhamtari,Low Priority,859.0,426,1,1
Karnataka,Hasan,Low Priority,860.0,229,1,1
Jharkhand,Purbi Singhbhum,Low Priority,861.0,210,1,1
Madhya Pradesh,Shajapur,Low Priority,862.0,1616,3,3
Chhattisgarh,Kanker,Low Priority,863.0,355,1,1
Haryana,Mewat,Low Priority,864.0,1511,3,3
Madhya Pradesh,Rewa,Low Priority,865.0,2344,5,5
Jharkhand,Sahebganj,Low Priority,866.0,1384,3,3
Telangana,Jangoan,Low Priority,867.0,194,1,1
Andhra Pradesh,Warangal,Low Priority,867.0,205,1,1
Delhi,North East,Low Priority,868.0,360,1,1
Andhra Pradesh,Medak,Low Priority,869.0,275,1,1
Andhra Pradesh,Adilabad,Low Priority,870.0,247,1,1
Jharkhand,Garhwa,Low Priority,871.0,1325,3,3
Telangana,Jogulamba Gadwal,Low Priority,872.0,380,1,1
